"gt","group","estimates","model","direction","threshold"
9206,1,9156.13878930749,"poisson","backward",0.05
1677,4,1691.55835207895,"poisson","backward",0.05
586,3,553.233485157115,"poisson","backward",0.05
550,2,559.536603099265,"poisson","backward",0.05
94,5,109.115919495188,"poisson","backward",0.05
9206,1,9157.7059125162,"NB","backward",0.05
1677,4,1691.50094771505,"NB","backward",0.05
586,3,553.275371413069,"NB","backward",0.05
550,2,559.525844608167,"NB","backward",0.05
94,5,93.9491910469619,"NB","backward",0.05
9206,1,9156.13878930749,"poisson","backward",0.1
1677,4,1691.55835207895,"poisson","backward",0.1
586,3,553.233485157115,"poisson","backward",0.1
550,2,559.536603099265,"poisson","backward",0.1
94,5,109.115919495188,"poisson","backward",0.1
9206,1,9157.7059125162,"NB","backward",0.1
1677,4,1691.50094771505,"NB","backward",0.1
586,3,553.275371413069,"NB","backward",0.1
550,2,559.525844608167,"NB","backward",0.1
94,5,93.9491910469619,"NB","backward",0.1
9206,1,9123.64519708466,"poisson","both",0.05
1677,4,1691.55835207895,"poisson","both",0.05
586,3,545.462323970086,"poisson","both",0.05
550,2,561.170058765174,"poisson","both",0.05
94,5,105.34658975873,"poisson","both",0.05
9206,1,9132.11866446945,"NB","both",0.05
1677,4,1691.50094771505,"NB","both",0.05
586,3,545.453299312181,"NB","both",0.05
550,2,561.184463565894,"NB","both",0.05
94,5,105.342009742325,"NB","both",0.05
9206,1,9123.64519708466,"poisson","both",0.1
1677,4,1691.55835207895,"poisson","both",0.1
586,3,545.462323970086,"poisson","both",0.1
550,2,561.170058765174,"poisson","both",0.1
94,5,105.34658975873,"poisson","both",0.1
9206,1,9132.11866446945,"NB","both",0.1
1677,4,1691.50094771505,"NB","both",0.1
586,3,545.453299312181,"NB","both",0.1
550,2,561.184463565894,"NB","both",0.1
94,5,105.342009742325,"NB","both",0.1
9206,1,9124.62764746338,"poisson","forward",0.05
1677,4,1684.99833804878,"poisson","forward",0.05
586,3,542.227463352163,"poisson","forward",0.05
550,2,554.947561918712,"poisson","forward",0.05
94,5,107.93562051897,"poisson","forward",0.05
9206,1,9124.87122086866,"NB","forward",0.05
1677,4,1684.97448862465,"NB","forward",0.05
586,3,542.234075815939,"NB","forward",0.05
550,2,554.970393696758,"NB","forward",0.05
94,5,107.930666442926,"NB","forward",0.05
9206,1,9124.62764746338,"poisson","forward",0.1
1677,4,1684.99833804878,"poisson","forward",0.1
586,3,542.227463352163,"poisson","forward",0.1
550,2,554.947561918712,"poisson","forward",0.1
94,5,107.93562051897,"poisson","forward",0.1
9206,1,9124.87122086866,"NB","forward",0.1
1677,4,1684.97448862465,"NB","forward",0.1
586,3,542.234075815939,"NB","forward",0.1
550,2,554.970393696758,"NB","forward",0.1
94,5,107.930666442926,"NB","forward",0.1
9206,1,9151.72231034431,"poisson","backward",0.05
1677,4,1686.31211061504,"poisson","backward",0.05
586,3,547.707375701828,"poisson","backward",0.05
550,2,554.163294750704,"poisson","backward",0.05
94,5,105.501660081652,"poisson","backward",0.05
9206,1,9152.46144029462,"NB","backward",0.05
1677,4,1686.31878120649,"NB","backward",0.05
586,3,547.760066252466,"NB","backward",0.05
550,2,554.172250759728,"NB","backward",0.05
94,5,105.458014214846,"NB","backward",0.05
9206,1,9151.72231034431,"poisson","backward",0.1
1677,4,1686.31211061504,"poisson","backward",0.1
586,3,547.707375701828,"poisson","backward",0.1
550,2,554.163294750704,"poisson","backward",0.1
94,5,105.501660081652,"poisson","backward",0.1
9206,1,9152.46144029462,"NB","backward",0.1
1677,4,1686.31878120649,"NB","backward",0.1
586,3,547.760066252466,"NB","backward",0.1
550,2,554.172250759728,"NB","backward",0.1
94,5,105.458014214846,"NB","backward",0.1
9206,1,9124.62764746338,"poisson","both",0.05
1677,4,1684.99833804878,"poisson","both",0.05
586,3,542.227463352163,"poisson","both",0.05
550,2,554.947561918712,"poisson","both",0.05
94,5,107.93562051897,"poisson","both",0.05
9206,1,9124.87122086866,"NB","both",0.05
1677,4,1684.97448862465,"NB","both",0.05
586,3,542.234075815939,"NB","both",0.05
550,2,554.970393696758,"NB","both",0.05
94,5,107.930666442926,"NB","both",0.05
9206,1,9124.62764746338,"poisson","both",0.1
1677,4,1684.99833804878,"poisson","both",0.1
586,3,542.227463352163,"poisson","both",0.1
550,2,554.947561918712,"poisson","both",0.1
94,5,107.93562051897,"poisson","both",0.1
9206,1,9124.87122086866,"NB","both",0.1
1677,4,1684.97448862465,"NB","both",0.1
586,3,542.234075815939,"NB","both",0.1
550,2,554.970393696758,"NB","both",0.1
94,5,107.930666442926,"NB","both",0.1
9206,1,9124.13638816755,"poisson","forward",0.05
1677,4,1688.93846227984,"poisson","forward",0.05
586,3,543.958756336841,"poisson","forward",0.05
550,2,558.167779271199,"poisson","forward",0.05
94,5,108.084146209757,"poisson","forward",0.05
9206,1,9124.47861320514,"NB","forward",0.05
1677,4,1688.92289802106,"NB","forward",0.05
586,3,543.96008757313,"NB","forward",0.05
550,2,558.184407399141,"NB","forward",0.05
94,5,108.080406705425,"NB","forward",0.05
9206,1,9124.13638816755,"poisson","forward",0.1
1677,4,1688.93846227984,"poisson","forward",0.1
586,3,543.958756336841,"poisson","forward",0.1
550,2,558.167779271199,"poisson","forward",0.1
94,5,108.084146209757,"poisson","forward",0.1
9206,1,9124.47861320514,"NB","forward",0.1
1677,4,1688.92289802106,"NB","forward",0.1
586,3,543.96008757313,"NB","forward",0.1
550,2,558.184407399141,"NB","forward",0.1
94,5,108.080406705425,"NB","forward",0.1
9206,1,9153.93095294863,"poisson","backward",0.05
1677,4,1688.93846227984,"poisson","backward",0.05
586,3,550.479960269195,"poisson","backward",0.05
550,2,556.858618059143,"poisson","backward",0.05
94,5,107.325670562801,"poisson","backward",0.05
9206,1,9155.06410301588,"NB","backward",0.05
1677,4,1688.92289802106,"NB","backward",0.05
586,3,550.534036633205,"NB","backward",0.05
550,2,556.860694876886,"NB","backward",0.05
94,5,107.246368379506,"NB","backward",0.05
9206,1,9153.93095294863,"poisson","backward",0.1
1677,4,1688.93846227984,"poisson","backward",0.1
586,3,550.479960269195,"poisson","backward",0.1
550,2,556.858618059143,"poisson","backward",0.1
94,5,107.325670562801,"poisson","backward",0.1
9206,1,9155.06410301588,"NB","backward",0.1
1677,4,1688.92289802106,"NB","backward",0.1
586,3,550.534036633205,"NB","backward",0.1
550,2,556.860694876886,"NB","backward",0.1
94,5,107.246368379506,"NB","backward",0.1
9206,1,9124.13638816755,"poisson","both",0.05
1677,4,1688.93846227984,"poisson","both",0.05
586,3,543.958756336841,"poisson","both",0.05
550,2,558.167779271199,"poisson","both",0.05
94,5,108.084146209757,"poisson","both",0.05
9206,1,9124.47861320514,"NB","both",0.05
1677,4,1688.92289802106,"NB","both",0.05
586,3,543.96008757313,"NB","both",0.05
550,2,558.184407399141,"NB","both",0.05
94,5,108.080406705425,"NB","both",0.05
9206,1,9124.13638816755,"poisson","both",0.1
1677,4,1688.93846227984,"poisson","both",0.1
586,3,543.958756336841,"poisson","both",0.1
550,2,558.167779271199,"poisson","both",0.1
94,5,108.084146209757,"poisson","both",0.1
9206,1,9124.47861320514,"NB","both",0.1
1677,4,1688.92289802106,"NB","both",0.1
586,3,543.96008757313,"NB","both",0.1
550,2,558.184407399141,"NB","both",0.1
94,5,108.080406705425,"NB","both",0.1
9206,1,9177.30182117801,"poisson","forward",0.05
1677,4,1678.63163600568,"poisson","forward",0.05
586,3,540.238822245337,"poisson","forward",0.05
550,2,568.17279316679,"poisson","forward",0.05
94,5,110.486575470241,"poisson","forward",0.05
